id,work_name,author,translator,era,literary_type,chapter,verse_number,tamil_text,english_translation,alternate_translations,commentary,glossary,iks_concepts,concept_ids,semantic_tags,source_reference,license,quality_score,is_valid,validation_errors
MMK-MM-2,Manimekalai,Cittalai Cattanar,Alain Danielou,Post-Sangam (c. 5th–6th century CE),Epic/Narrative,Passage MM-2,MM-2,மாணிக்கவாசகர் கொடை உலகம் புகழும் திறன் உடையது.,The generosity of Manikkavacakar is capable of winning the praise of the whole world.,[],,{},"[{'concept_id': 'IKS-IGAI', 'name': 'Igai', 'meaning': 'Classical Tamil IKS concept of Igai', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PUKAZH', 'name': 'Pukazh', 'meaning': 'Fame, honor, or reputation', 'historical_era': 'Post-Sangam (c. 5th–6th century CE)', 'related_concepts': ['IKS-VIRAM', 'IKS-KODAI'], 'confidence': 1.0}]","['IKS-IGAI', 'IKS-PUKAZH']","['igai', 'pukazh']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0001,Natrinai,Murinjiyur Mudinagarayar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 1,1,நெய்தல் நிலத்துத் தலைவி கடலையே நோக்கி நின்றாள்.,"The heroine of the coastal land stood gazing at the sea, weeping for her departed lover.",[],The seashore landscape (Neythal) reflects grief and separation (Pirivu).,"{'நெய்தல்': 'coastal tinai', 'தலைவி': 'heroine', 'கடலையே': 'at the sea'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}]",['IKS-THINAI'],['thinai'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
NAT-0045,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 45,45,இன்சொல் பேசும் தோழி தோழியின் துணை இன்றி வாழ்க்கை இல்லை.,"The confidante who speaks sweetly — without her friendship, life itself is empty.",[],,{},"[{'concept_id': 'IKS-THOZHI', 'name': 'Thozhi', 'meaning': 'Female confidante, helper, or companion', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-THOZHI']","['thozhi', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0004,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 4,4,இனியோர் தமரால் இரவின் துறைவன் இனியோர் தமரால் கல்லென்று ஒலிக்கும் கடலே.,"By the night shore of my beloved, the sea roars like a crowd of dear ones.",[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-KADAL']","['neythal', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0012,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 12,12,வேல்போல் நெடுங்கண் துயில்வில நன்ஞாயிற் றுயரம் செய்யாய் கதிர் காய்ந்தவரே.,"Long eyes like spears cannot sleep; do not torment, O bright sun, those whose love is scorched.",[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-KADAL', 'IKS-PIRIVU']","['neythal', 'pirivu', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0006,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 6,6,குளிர்வளி வீசும் குறிஞ்சி நில வரை மலர்கள் சூடி நிற்கும் தலைவி.,"The heroine stands on the cool-breeze mountain slope of Kurinji, adorned with hill flowers.",[],,{},"[{'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-KURINJI', 'IKS-KADAL']","['kurinji', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0015,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 15,15,நண்பகல் வெம்மை தணிக்கும் தாமரை பொய்கையின் குளிர்ந்த நீர் போல நட்பு.,Friendship is like the cool waters of a lotus pond that quench midday heat.,[],,{},"[{'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}, {'concept_id': 'IKS-PANPU', 'name': 'Panpu', 'meaning': 'Classical Tamil IKS concept of Panpu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-PANPU', 'IKS-ANBU']","['anbu', 'panpu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0023,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 23,23,வாழ்க்கையே அரமியம் வாழ்வோர்க்கும் இல்லற நெறியிலே நின்றவர் வாழ்வு.,"Life itself is the palace; for those who walk the domestic path of virtue, life is true living.",[],,{},"[{'concept_id': 'IKS-ILLARAM', 'name': 'Illaram', 'meaning': 'Classical Tamil IKS concept of Illaram', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-ILLARAM', 'IKS-ARAM']","['illaram', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0034,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 34,34,கடல் நோக்கி நிற்கும் தலைவியின் கண்ணீர் தடம் கடலிலும் பெரியது.,The tears of the heroine gazing at the sea are larger than the vast sea itself.,[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-KADAL', 'IKS-PIRIVU']","['neythal', 'pirivu', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0009,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 9,9,முல்லை நிலத்து மழை பொழியும் மாலையில் தலைவன் வாராத வேண்டும் தலைவிக்கு.,"In the pastoral Mullai land when evening rains fall, the heroine waits for her love to return.",[],,{},"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-MULLAI', 'IKS-PIRIVU']","['mullai', 'pirivu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
NAT-0052,Natrinai,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 52,52,பாலை நிலத்தில் பிரிந்த காதலன் வரும் நாள் வரை பொறுத்திருக்கும் கல்மனம்.,"In the arid Palai landscape, the heroine's stone-like heart waits until her love returns.",[],,{},"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-PALAI', 'IKS-PIRIVU', 'IKS-KADAL']","['palai', 'pirivu', 'kadal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PAR-0001,Paripadal,Kaduvan Ilaveyinanar,A. Dakshinamurthy,Sangam (c. 1st–3rd century CE),Devotional/Musical,Poem 4: Praise of Thirumal,25,தீயினுள் தெறல் நீ பூவினுள் நாற்றம் நீ கல்லினுள் மணியும் நீ.,Thy heat is in the fire; thy fragrance is in the flower; thy luster is in the gem.,[],"He is the essence of all elements, colors, and virtues.","{'தீயினுள்': 'within fire', 'தெறல்': 'heat', 'பூவினுள்': 'within flower', 'நாற்றம்': 'fragrance'}","[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'historical_era': 'Sangam (c. 1st–3rd century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ANBU', 'IKS-THAVAM'], 'confidence': 1.0}]",['IKS-ARUL'],['arul'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PAR-0002,Paripadal,Kaduvan Ilaveyinanar,A. Dakshinamurthy,Sangam (c. 1st–3rd century CE),Devotional/Musical,Poem 4: Praise of Thirumal,26,ஞாயிற்று வெம்மையும் திங்களுள் தண்மையும் மழையுள் வண்மையும் நீ.,Thy fieriness is in the sun; thy gentleness is in the moon; thy bounty is in the rain.,[],Praising the divine character as balanced between strength and benevolence.,"{'ஞாயிற்று': 'of sun', 'திங்களுள்': 'within moon', 'மழையுள்': 'within rain'}","[{'concept_id': 'IKS-ARUL', 'name': 'Arul', 'meaning': 'Grace, benevolence, or divine compassion', 'historical_era': 'Sangam (c. 1st–3rd century CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ANBU', 'IKS-THAVAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 1st–3rd century CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ARUL', 'IKS-ANBU']","['arul', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PTR-0011,Pathitrupathu,Kummattur Kannanar,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 11,11,வளம் கெழு வேந்தன் வஞ்சி மூதூர் வலம்புரி கொண்டமர் வென்றோன்.,The prosperous king who won victory in battle taking the right-spinning conch at the ancient city of Vanji.,[],Praising the dynastic victories of the Chera rulers.,"{'வேந்தன்': 'king', 'கொண்டமர்': 'won battle'}","[{'concept_id': 'IKS-SANROR', 'name': 'Sanror', 'meaning': 'Noble scholars, people of exemplary character, or wise elders', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-OZHUKKAM', 'IKS-KELIR'], 'confidence': 1.0}]",['IKS-SANROR'],['sanror'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PTR-0031,Pathitrupathu,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 31,31,கொடைக்கடன் பூண்ட சேரன் கொற்றவன் வலியால் வாழ்ந்தனன்.,The Chera king who wore the debt of generosity lived by the strength of his valor.,[],,{},"[{'concept_id': 'IKS-KODAI', 'name': 'Kodai', 'meaning': 'Generosity, charity, or patronage', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-VIRAM', 'name': 'Viram', 'meaning': 'Valor, bravery, or heroism', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARASAN', 'IKS-PUKAZH'], 'confidence': 1.0}, {'concept_id': 'IKS-ARASAN', 'name': 'Arasan', 'meaning': 'King, ruler, or sovereign leader', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-PORUL', 'IKS-VIRAM'], 'confidence': 1.0}]","['IKS-KODAI', 'IKS-VIRAM', 'IKS-ARASAN']","['kodai', 'viram', 'arasan']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PTR-0041,Pathitrupathu,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 41,41,குடிகளைக் காத்த மன்னன் தன் நாட்டில் மழை பெய்தது போல் வாழ்ந்தான்.,The king who protected his subjects lived like rain falling in his own land.,[],,{},"[{'concept_id': 'IKS-ARASAN', 'name': 'Arasan', 'meaning': 'King, ruler, or sovereign leader', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-PORUL', 'IKS-VIRAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-SENGOL', 'name': 'Sengol', 'meaning': 'Classical Tamil IKS concept of Sengol', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-ARASAN', 'IKS-SENGOL', 'IKS-ARAM']","['arasan', 'aram', 'sengol']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PTR-0022,Pathitrupathu,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 22,22,தண்மழை தலைத்தலை சுரந்து வான் பொழிய ஒண்ணுதல் மகளிர் ஆடிய நீரே.,Cold rains poured season after season; the waters where bright-faced women bathed.,[],,{},"[{'concept_id': 'IKS-VRUNTHOMPAL', 'name': 'Vrunthompal', 'meaning': 'Classical Tamil IKS concept of Vrunthompal', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-VRUNTHOMPAL', 'IKS-ARAM']","['vrunthompal', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PTR-0052,Pathitrupathu,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 52,52,புலவர் பாடும் புகழை விரும்பிய வேந்தன் கொடை கொடுத்தான்.,The king who desired the fame that poets would sing gave generously.,[],,{},"[{'concept_id': 'IKS-PUKAZH', 'name': 'Pukazh', 'meaning': 'Fame, honor, or reputation', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-VIRAM', 'IKS-KODAI'], 'confidence': 1.0}, {'concept_id': 'IKS-KODAI', 'name': 'Kodai', 'meaning': 'Generosity, charity, or patronage', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-PORUL'], 'confidence': 1.0}, {'concept_id': 'IKS-ARASAN', 'name': 'Arasan', 'meaning': 'King, ruler, or sovereign leader', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-PORUL', 'IKS-VIRAM'], 'confidence': 1.0}]","['IKS-KODAI', 'IKS-ARASAN', 'IKS-PUKAZH']","['pukazh', 'kodai', 'arasan']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PTP-0218,Pattinappaalai,Kadiyalur Uruthirankannanar,J.V. Chelliah,Sangam (c. 300 BCE – 300 CE),Love/Akam,Lines 218-220,218,முட்டாச் சிறப்பின் பட்டினம் பெறினும் வாரிருங் கூந்தல் வயங்கிழை ஒழிய வாரேன்.,"Even if I were to receive the city of Puhar with its flawless wealth, I would not leave behind my beloved with her dark, long hair.",[],The hero refuses to go on a wealth-gathering mission if it means leaving his wife.,"{'பட்டினம்': 'city', 'பெறினும்': 'even if received', 'வாரேன்': 'I will not come'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-THINAI']","['thinai', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PUR-0192,Purananuru,Kaniyan Pungundranar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 192,192,யாதும் ஊரே யாவரும் கேளிர்.,Every city is my native place; all people are my kinsmen.,[],All the world is our village and all people are our relatives.,"{'யாதும்': 'every', 'ஊரே': 'town/village', 'கேளிர்': 'relations'}","[{'concept_id': 'IKS-KELIR', 'name': 'Kelir', 'meaning': 'Kinsmen, universal brotherhood, or social relations', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ANBU', 'IKS-SANROR'], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-ARAM', 'IKS-KELIR']","['kelir', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.82,True,[]
PUR-0182,Purananuru,Kadiyalur Uruthirankannanar,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 182,182,உண்டாலம்ம இவ்வுலகம் இந்திரர் அமிழ்தம் இயைவது ஆயினும் இனிதெனத் தமியர் உண்டலும் இலரே.,"This world lives because men do not eat alone, even if the food were nectar of the gods.",[],Selflessness and sharing preserve human civilization.,"{'தமியர்': 'alone', 'உண்டலும்': 'eating'}","[{'concept_id': 'IKS-KELIR', 'name': 'Kelir', 'meaning': 'Kinsmen, universal brotherhood, or social relations', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ANBU', 'IKS-SANROR'], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-ARAM', 'IKS-KELIR']","['kelir', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PUR-0312,Purananuru,Purananooru (anonymous),A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 312,312,ஈன்று புறந்தருதல் என்தலைக் கடனே சான்றோன் ஆக்குதல் தந்தைக்குக் கடனே.,To bear and bring him up is my duty; to make him a noble man (Sanron) is the father's duty.,[],"Nurturing is mother's duty, molding character is father's.","{'ஈன்று': 'bearing', 'சான்றோன்': 'noble/virtuous man'}","[{'concept_id': 'IKS-SANROR', 'name': 'Sanror', 'meaning': 'Noble scholars, people of exemplary character, or wise elders', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-OZHUKKAM', 'IKS-KELIR'], 'confidence': 1.0}]",['IKS-SANROR'],['sanror'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
PUR-0220,Purananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 220,220,காலனும் கடவுளும் ஒன்றே சீலம் சிறந்தார்க்கு.,Death and God are the same to those of excellent character.,[],,{},"[{'concept_id': 'IKS-THAVAM', 'name': 'Thavam', 'meaning': 'Penance, ascetic practice, or self-discipline', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARUL'], 'confidence': 1.0}, {'concept_id': 'IKS-OZHUKKAM', 'name': 'Ozhukkam', 'meaning': 'Moral conduct, discipline, or personal integrity', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-SANROR'], 'confidence': 1.0}]","['IKS-OZHUKKAM', 'IKS-THAVAM']","['thavam', 'ozhukkam']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PUR-0015,Purananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 15,15,நன்பல வேள்வி செய்து முடித்த அரசனைக் கபிலர் பாராட்டினார்.,Kapilar praised the king who successfully performed many noble fire sacrifices.,[],,{},"[{'concept_id': 'IKS-VELVI', 'name': 'Velvi', 'meaning': 'Ritual sacrifice or sacred offerings', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARASAN', 'IKS-KODAI'], 'confidence': 1.0}, {'concept_id': 'IKS-ARASAN', 'name': 'Arasan', 'meaning': 'King, ruler, or sovereign leader', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-PORUL', 'IKS-VIRAM'], 'confidence': 1.0}]","['IKS-ARASAN', 'IKS-VELVI']","['velvi', 'arasan']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PUR-0006,Purananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 6,6,ஒன்று செய்தோர்க்கும் ஒன்றிலாதோர்க்கும் ஒருங்கு உடைத்தே செல்வம் ஆற்றும் செல்வமே.,Real wealth is that which is equally available to those who do good and those who do not.,[],,{},"[{'concept_id': 'IKS-PORUL', 'name': 'Porul', 'meaning': 'Wealth, material goods, or meaning/substance', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARAM', 'IKS-ARASAN'], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-PORUL', 'IKS-ARAM']","['porul', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PUR-0002,Purananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 2,2,இருமூன்று ஆண்டினும் கழிந்த யாண்டினும் கெடுக்குவர் தம்மை கெடுப்போர்.,Those who bring destruction on themselves will be destroyed whether it takes six years or more.,[],,{},"[{'concept_id': 'IKS-OOZH', 'name': 'Oozh', 'meaning': 'Fate, destiny, or cosmic cause-and-effect', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-UYIR', 'IKS-THAVAM'], 'confidence': 1.0}, {'concept_id': 'IKS-VIRAM', 'name': 'Viram', 'meaning': 'Valor, bravery, or heroism', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARASAN', 'IKS-PUKAZH'], 'confidence': 1.0}]","['IKS-VIRAM', 'IKS-OOZH']","['oozh', 'viram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
PUR-0001,Purananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Heroic/Puram,Verse 1,1,வாடா மலர்தலை உலகத்து நீடார் புகழுடையோர் நீடுவாழ் வோரே.,Those in this ever-blooming world who have enduring fame are those who live long.,[],,{},"[{'concept_id': 'IKS-PUKAZH', 'name': 'Pukazh', 'meaning': 'Fame, honor, or reputation', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-VIRAM', 'IKS-KODAI'], 'confidence': 1.0}]",['IKS-PUKAZH'],['pukazh'],https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
